Season_End_Year,Liverpool_Result,Count
2010,Draw,16.666666666666664
2010,Loss,50.0
2010,Win,33.33333333333333
2011,Draw,25.0
2011,Loss,41.66666666666667
2011,Win,33.33333333333333
2012,Draw,25.0
2012,Loss,33.33333333333333
2012,Win,41.66666666666667
2013,Draw,58.333333333333336
2013,Loss,33.33333333333333
2013,Win,8.333333333333332
2014,Draw,8.333333333333332
2014,Loss,33.33333333333333
2014,Win,58.333333333333336
2015,Draw,33.33333333333333
2015,Loss,41.66666666666667
2015,Win,25.0
2016,Draw,50.0
2016,Loss,16.666666666666664
2016,Win,33.33333333333333
2017,Draw,41.66666666666667
2017,Win,58.333333333333336
2018,Draw,50.0
2018,Loss,33.33333333333333
2018,Win,16.666666666666664
2019,Draw,41.66666666666667
2019,Loss,8.333333333333332
2019,Win,50.0
2020,Draw,16.666666666666664
2020,Loss,16.666666666666664
2020,Win,66.66666666666666
2021,Draw,25.0
2021,Loss,25.0
2021,Win,50.0
2022,Draw,50.0
2022,Win,50.0
2023,Draw,33.33333333333333
2023,Loss,25.0
2023,Win,41.66666666666667
