Season_End_Year,Formation,Count
2016,433,24
2016,4231,15
2016,4411,7
2016,442,4
2016,41221,2
2016,4312,2
2016,3412,2
2016,352,1
2016,4222,1
2017,433,39
2017,41212,2
2017,4312,1
2017,442,1
2017,34111,1
2018,433,45
2018,4231,4
2018,4222,1
2018,34111,1
2018,442,1
2018,4411,1
2019,433,35
2019,4231,11
2019,442,3
2019,4411,1
2020,433,54
2020,4231,3
2021,433,47
2021,4231,2
2021,41212,1
2021,4312,1
2021,442,1
2022,433,62
2023,433,43
2023,4231,3
2023,442,2
2023,41212,2
2023,4312,1
2023,41221,1
