Category: All categories

Month,Liverpool F.C.: (Worldwide)
2004-01,7
2004-02,6
2004-03,7
2004-04,7
2004-05,7
2004-06,7
2004-07,9
2004-08,11
2004-09,8
2004-10,7
2004-11,9
2004-12,9
2005-01,10
2005-02,10
2005-03,9
2005-04,12
2005-05,24
2005-06,12
2005-07,15
2005-08,14
2005-09,11
2005-10,9
2005-11,11
2005-12,13
2006-01,13
2006-02,12
2006-03,11
2006-04,10
2006-05,12
2006-06,9
2006-07,13
2006-08,15
2006-09,12
2006-10,10
2006-11,11
2006-12,10
2007-01,12
2007-02,12
2007-03,11
2007-04,12
2007-05,20
2007-06,12
2007-07,17
2007-08,15
2007-09,12
2007-10,12
2007-11,13
2007-12,14
2008-01,13
2008-02,12
2008-03,14
2008-04,17
2008-05,13
2008-06,11
2008-07,14
2008-08,15
2008-09,14
2008-10,14
2008-11,13
2008-12,13
2009-01,13
2009-02,14
2009-03,15
2009-04,18
2009-05,12
2009-06,11
2009-07,13
2009-08,16
2009-09,12
2009-10,15
2009-11,12
2009-12,12
2010-01,12
2010-02,10
2010-03,10
2010-04,13
2010-05,10
2010-06,9
2010-07,15
2010-08,20
2010-09,14
2010-10,15
2010-11,13
2010-12,12
2011-01,19
2011-02,18
2011-03,14
2011-04,13
2011-05,13
2011-06,14
2011-07,18
2011-08,18
2011-09,13
2011-10,13
2011-11,14
2011-12,14
2012-01,19
2012-02,15
2012-03,12
2012-04,13
2012-05,17
2012-06,12
2012-07,15
2012-08,20
2012-09,17
2012-10,13
2012-11,14
2012-12,14
2013-01,18
2013-02,13
2013-03,11
2013-04,11
2013-05,13
2013-06,15
2013-07,18
2013-08,21
2013-09,19
2013-10,11
2013-11,13
2013-12,18
2014-01,19
2014-02,18
2014-03,19
2014-04,28
2014-05,18
2014-06,15
2014-07,24
2014-08,29
2014-09,17
2014-10,16
2014-11,16
2014-12,19
2015-01,20
2015-02,19
2015-03,18
2015-04,15
2015-05,15
2015-06,16
2015-07,20
2015-08,20
2015-09,16
2015-10,21
2015-11,18
2015-12,18
2016-01,24
2016-02,19
2016-03,19
2016-04,27
2016-05,25
2016-06,14
2016-07,19
2016-08,23
2016-09,18
2016-10,20
2016-11,18
2016-12,18
2017-01,25
2017-02,13
2017-03,12
2017-04,14
2017-05,16
2017-06,17
2017-07,21
2017-08,32
2017-09,20
2017-10,16
2017-11,16
2017-12,23
2018-01,32
2018-02,20
2018-03,21
2018-04,47
2018-05,62
2018-06,19
2018-07,25
2018-08,24
2018-09,32
2018-10,21
2018-11,25
2018-12,38
2019-01,35
2019-02,38
2019-03,34
2019-04,41
2019-05,66
2019-06,42
2019-07,21
2019-08,37
2019-09,24
2019-10,40
2019-11,43
2019-12,78
2020-01,53
2020-02,48
2020-03,34
2020-04,8
2020-05,8
2020-06,21
2020-07,34
2020-08,23
2020-09,34
2020-10,38
2020-11,29
2020-12,38
2021-01,45
2021-02,38
2021-03,25
2021-04,38
2021-05,36
2021-06,10
2021-07,16
2021-08,29
2021-09,32
2021-10,45
2021-11,35
2021-12,43
2022-01,34
2022-02,44
2022-03,36
2022-04,82
2022-05,100
2022-06,18
2022-07,43
2022-08,51
2022-09,34
2022-10,57
2022-11,29
2022-12,29
2023-01,38
2023-02,44
2023-03,45
2023-04,46
2023-05,31
2023-06,14
2023-07,24
2023-08,43
2023-09,24
