Season_End_Year,Liverpool_Result,Count
2010,Draw,23.684210526315788
2010,Loss,28.947368421052634
2010,Win,47.368421052631575
2011,Draw,18.421052631578945
2011,Loss,36.84210526315789
2011,Win,44.73684210526316
2012,Draw,26.31578947368421
2012,Loss,36.84210526315789
2012,Win,36.84210526315789
2013,Draw,34.21052631578947
2013,Loss,23.684210526315788
2013,Win,42.10526315789473
2014,Draw,15.789473684210526
2014,Loss,15.789473684210526
2014,Win,68.42105263157895
2015,Draw,21.052631578947366
2015,Loss,31.57894736842105
2015,Win,47.368421052631575
2016,Draw,7.894736842105263
2016,Loss,5.263157894736842
2016,Win,7.894736842105263
